S.No.,pH,EC_(dS/m),Organic_Carbon_(%),Phosphorus_P2O5_(Kg/ha),Potassium_K2O_(Kg/ha),Zinc_Zn_(ppm),Iron_Fe_(ppm),Copper_Cu_(ppm),Manganese_Mn_(ppm)
34,8.5,0.45,0.19,49.0,265.0,0.32,3.16,0.52,5.14
35,8.6,0.32,0.22,38.0,277.0,0.36,3.02,0.48,5.3
36,8.7,0.17,0.17,36.0,284.0,0.3,2.74,0.46,5.18
37,8.7,0.26,0.14,41.0,292.0,0.26,2.96,0.5,5.34
38,9.0,0.34,0.16,49.0,276.0,0.28,2.88,0.36,5.12
39,9.0,0.16,0.08,54.0,240.0,0.34,3.4,0.46,3.88
40,8.7,0.19,0.12,64.0,254.0,0.26,2.96,0.32,5.16
41,8.9,0.12,0.06,36.0,282.0,0.28,3.46,0.44,4.9
42,8.4,0.23,0.17,54.0,212.0,0.34,3.04,0.48,5.06
43,8.4,2.15,0.2,49.0,155.0,0.28,2.74,0.42,4.82
44,9.2,0.22,0.16,49.0,169.0,0.34,2.8,0.44,4.38
45,8.4,0.16,0.16,56.0,155.0,0.34,2.74,0.42,3.9
46,8.3,0.1,0.12,54.0,169.0,0.4,2.8,0.4,3.94
47,8.5,0.09,0.14,54.0,169.0,0.34,2.64,0.46,3.8
48,8.4,0.08,0.1,56.0,155.0,0.36,2.84,0.42,3.78
49,8.4,0.04,0.19,56.0,169.0,0.42,2.6,0.46,3.62
50,8.2,0.2,0.16,49.0,395.0,0.52,3.24,0.46,3.8
51,8.3,0.12,0.18,41.0,183.0,0.36,2.36,0.38,5.04
52,8.1,0.46,0.16,41.0,155.0,0.28,3.26,0.38,4.68
53,8.0,0.1,0.14,36.0,212.0,0.34,3.14,0.44,4.56
54,8.0,0.38,0.12,41.0,183.0,0.34,3.28,0.4,4.5
55,8.4,0.22,0.2,49.0,268.0,0.3,3.48,0.38,4.36
56,8.6,0.1,0.23,41.0,240.0,0.4,3.14,0.5,3.94
57,9.2,0.11,0.12,26.0,155.0,0.28,3.04,0.46,4.38
58,8.3,0.29,0.2,54.0,310.0,0.4,2.68,0.38,5.06
59,8.8,0.16,0.18,54.0,395.0,0.36,2.44,0.42,5.12
60,8.4,0.12,0.15,49.0,240.0,0.32,2.72,0.48,4.44
61,8.9,0.6,0.13,54.0,212.0,0.36,3.42,0.46,5.16
62,8.3,0.19,0.2,26.0,169.0,0.3,3.42,0.4,3.16
63,8.2,0.16,0.19,34.0,169.0,0.42,3.36,0.4,3.24
64,8.3,0.43,0.15,64.0,480.0,0.36,3.74,0.42,4.26
65,9.6,0.84,0.14,56.0,226.0,0.38,2.66,0.92,8.22
66,8.2,0.13,0.13,38.0,325.0,0.34,3.68,0.5,4.6
67,9.2,0.09,0.18,59.0,339.0,0.36,3.4,0.4,4.28
68,9.7,0.37,0.11,49.0,183.0,0.3,3.46,0.36,5.4
69,8.1,0.36,0.14,38.0,296.0,0.32,3.14,0.46,5.04
70,8.1,0.54,0.19,44.0,183.0,0.28,2.78,0.42,4.9
71,8.2,0.6,0.22,49.0,353.0,0.36,3.2,0.44,5.14
72,8.1,0.56,0.17,46.0,183.0,0.3,3.16,0.42,4.86
73,8.7,0.38,0.11,41.0,155.0,0.32,3.04,0.48,4.84
74,8.2,0.13,0.12,56.0,254.0,0.36,3.2,0.5,3.7
75,8.8,0.28,0.16,49.0,359.0,0.36,3.2,0.48,4.96
76,8.6,0.08,0.17,46.0,155.0,0.32,2.8,0.52,4.2
77,8.7,0.07,0.2,44.0,198.0,0.32,2.96,0.46,4.86
78,8.2,0.56,0.17,26.0,240.0,0.36,2.96,0.42,5.14
79,8.1,0.18,0.14,46.0,226.0,0.34,3.0,0.4,4.96
80,8.4,0.21,0.14,46.0,226.0,0.36,3.32,0.38,4.44
81,8.4,0.16,0.16,59.0,367.0,0.44,3.18,0.4,5.08
82,8.6,0.11,0.14,38.0,155.0,0.38,3.26,0.4,5.06
83,9.0,0.3,0.14,56.0,325.0,0.34,2.56,0.42,4.36
84,8.3,0.25,0.19,56.0,254.0,0.3,3.96,0.5,5.78
85,9.2,0.09,0.16,49.0,296.0,0.48,3.82,0.56,5.32
86,8.2,0.39,0.12,49.0,254.0,0.42,2.96,0.44,5.06
87,8.2,0.29,0.27,49.0,310.0,0.32,3.24,0.32,3.28
88,8.0,0.35,0.21,51.0,353.0,0.28,3.78,0.26,3.4
89,8.4,0.18,0.27,49.0,310.0,0.32,3.24,0.32,3.28
90,8.1,0.33,0.21,51.0,353.0,0.28,3.78,0.26,3.4
91,8.0,0.4,0.29,54.0,367.0,0.32,3.4,0.32,2.8
92,8.1,0.67,0.12,46.0,353.0,0.42,3.42,0.423,3.78
93,8.3,0.33,0.19,44.0,310.0,0.28,3.78,0.36,4.2
94,8.5,0.18,0.23,41.0,282.0,0.26,2.92,0.4,4.1
95,8.2,0.28,0.2,38.0,254.0,0.32,3.2,0.26,3.78
96,8.3,0.3,0.18,36.0,296.0,0.44,3.42,0.26,3.9
97,8.2,0.3,0.29,33.0,381.0,0.4,3.8,0.32,3.42
98,8.2,0.31,0.32,31.0,367.0,0.28,2.98,0.28,3.64
99,8.3,0.33,0.26,28.0,268.0,0.32,3.42,0.3,4.32
100,8.1,0.4,0.31,26.0,296.0,0.24,3.1,0.42,4.82
101,8.0,0.42,0.26,20.0,310.0,0.32,2.92,0.28,3.4
102,8.3,0.56,0.22,18.0,268.0,0.26,2.42,0.32,4.26
103,8.4,0.28,0.35,15.0,381.0,0.38,3.28,0.26,4.78
104,8.1,0.31,0.16,18.0,367.0,0.42,4.2,0.32,4.1
105,8.1,0.61,0.19,20.0,254.0,0.28,3.78,0.28,2.88
106,8.2,0.71,0.27,49.0,212.0,0.32,3.24,0.32,3.28
107,8.1,0.67,0.21,51.0,240.0,0.28,3.78,0.26,3.4
108,7.9,0.59,0.32,54.0,353.0,0.32,3.4,0.32,2.8
109,8.1,0.35,0.25,46.0,339.0,0.42,3.42,0.423,3.78
110,7.8,0.39,0.2,44.0,381.0,0.28,3.78,0.36,4.2
111,8.1,0.53,0.17,41.0,367.0,0.26,2.92,0.4,4.1
112,8.1,0.48,0.26,38.0,296.0,0.32,3.2,0.26,3.78
113,8.2,0.42,0.39,36.0,240.0,0.44,3.42,0.26,3.9
114,8.1,0.4,0.31,33.0,296.0,0.4,3.8,0.32,3.42
115,7.8,0.6,0.26,31.0,254.0,0.28,2.98,0.28,3.64
116,8.1,0.55,0.21,28.0,310.0,0.32,3.42,0.3,4.32
117,8.0,0.49,0.29,26.0,339.0,0.24,3.1,0.42,4.82
118,8.1,0.43,0.32,20.0,353.0,0.32,2.92,0.28,3.4
119,8.0,0.47,0.22,18.0,367.0,0.26,2.42,0.32,4.26
120,7.9,0.6,0.18,15.0,381.0,0.38,3.28,0.26,4.78
121,8.0,0.42,0.27,18.0,395.0,0.42,4.2,0.32,4.1
122,8.6,0.15,0.32,20.0,240.0,0.28,3.78,0.28,2.88
123,8.5,0.16,0.25,23.0,254.0,0.24,4.26,0.42,2.54
124,8.37,0.1,0.16,26.0,282.0,0.26,2.98,0.36,3.26
125,8.6,0.12,0.19,38.0,310.0,0.32,3.26,0.4,3.8
126,8.6,0.1,0.23,26.0,296.0,0.28,3.78,0.28,2.82
127,8.4,0.11,0.21,31.0,381.0,0.32,3.42,0.26,3.2
128,8.3,0.14,0.18,33.0,353.0,0.28,3.78,0.42,4.48
129,8.4,0.12,0.25,26.0,226.0,0.26,2.98,0.36,3.26
130,8.1,0.12,0.21,38.0,381.0,0.32,3.26,0.4,3.8
131,8.4,0.1,0.3,26.0,353.0,0.28,3.78,0.28,2.82
132,8.4,0.11,0.29,31.0,226.0,0.32,3.42,0.26,3.2
133,8.1,0.15,0.21,33.0,226.0,0.28,3.78,0.42,4.48
134,8.0,0.1,0.27,49.0,310.0,0.32,3.24,0.32,3.28
135,8.9,0.13,0.21,51.0,353.0,0.28,3.78,0.26,3.4
136,8.7,0.15,0.29,54.0,282.0,0.32,3.4,0.32,2.8
137,8.7,0.12,0.12,46.0,325.0,0.42,3.42,0.423,3.78
138,8.6,0.14,0.19,44.0,353.0,0.28,3.78,0.36,4.2
139,8.7,0.1,0.23,41.0,296.0,0.26,2.92,0.4,4.1
140,8.6,0.13,0.2,38.0,367.0,0.32,3.2,0.26,3.78
141,8.5,0.13,0.18,36.0,381.0,0.44,3.42,0.26,3.9
142,8.5,0.12,0.29,33.0,254.0,0.4,3.8,0.32,3.42
143,8.6,0.15,0.32,31.0,296.0,0.28,2.98,0.28,3.64
144,8.4,0.15,0.26,28.0,353.0,0.32,3.42,0.3,4.32
145,8.7,0.12,0.22,26.0,381.0,0.24,3.1,0.42,4.82
146,8.6,0.1,0.35,20.0,409.0,0.32,2.92,0.28,3.4
147,8.6,0.16,0.16,18.0,367.0,0.26,2.42,0.32,4.26
148,8.7,0.11,0.19,15.0,296.0,0.38,3.28,0.26,4.78
149,8.5,0.16,0.27,18.0,282.0,0.42,4.2,0.32,4.1
150,8.5,0.14,0.21,20.0,254.0,0.28,3.78,0.28,2.88
151,8.3,0.24,0.32,23.0,353.0,0.24,4.26,0.42,2.54
152,8.3,0.3,0.25,26.0,339.0,0.26,2.98,0.36,3.26
153,8.2,0.31,0.2,38.0,296.0,0.32,3.26,0.4,3.8
154,7.8,0.56,0.17,26.0,240.0,0.28,3.78,0.28,2.82
155,7.8,0.5,0.26,31.0,268.0,0.32,3.42,0.26,3.2
156,8.1,0.49,0.39,33.0,296.0,0.28,3.78,0.42,4.48
157,8.0,0.56,0.31,26.0,240.0,0.28,3.78,0.28,2.82
158,8.1,0.5,0.26,31.0,268.0,0.32,3.42,0.26,3.2
159,8.1,0.71,0.21,33.0,296.0,0.28,3.78,0.42,4.48
160,7.9,0.54,0.29,20.0,367.0,0.42,2.42,0.26,3.8
161,8.1,0.51,0.32,26.0,296.0,0.28,2.92,0.28,4.1
162,8.2,0.3,0.11,46.0,310.0,0.36,3.1,0.46,2.86
163,8.3,0.32,0.14,41.0,395.0,0.38,2.9,0.54,3.14
164,8.3,0.3,0.3,29.0,310.0,0.44,2.42,0.38,3.78
165,8.3,0.3,0.19,27.0,296.0,0.28,3.42,0.22,3.6
166,8.1,0.32,0.15,45.0,282.0,0.32,3.1,0.36,4.26
167,8.3,0.35,0.18,42.0,409.0,0.26,3.48,0.3,4.7
168,8.2,0.56,0.11,23.0,452.0,0.4,2.88,0.24,2.98
169,8.5,0.27,0.13,28.0,381.0,0.74,3.2,0.28,3.5
170,8.7,0.27,0.19,23.0,480.0,0.38,3.94,0.44,4.14
171,8.1,0.31,0.22,26.0,395.0,0.72,2.24,0.4,4.9
172,8.4,0.42,0.18,39.0,240.0,0.38,2.8,0.54,3.28
173,8.2,0.58,0.13,43.0,381.0,0.46,3.18,0.36,4.5
174,8.1,0.41,0.19,28.0,339.0,0.44,3.58,0.28,4.7
175,8.4,0.36,0.1,48.0,282.0,0.36,3.9,0.44,2.98
176,8.6,0.33,0.22,39.0,240.0,0.3,2.98,0.4,3.26
177,8.4,0.51,0.18,28.0,212.0,0.28,2.8,0.28,4.18
178,8.3,0.47,0.14,38.0,240.0,0.22,3.24,0.44,2.9
179,8.5,0.45,0.11,26.0,268.0,0.42,3.78,0.4,3.36
180,8.2,0.56,0.16,31.0,254.0,0.3,3.5,0.36,4.78
181,8.6,0.53,0.21,28.0,339.0,0.42,3.1,0.28,2.78
182,8.7,0.53,0.14,26.0,317.0,0.44,2.9,0.28,4.12
183,8.4,0.39,0.13,23.0,367.0,0.26,3.8,0.32,4.78
184,8.4,0.57,0.19,26.0,240.0,0.32,2.42,0.28,3.8
185,8.1,0.38,0.18,20.0,296.0,0.28,2.92,0.32,3.54
186,8.0,0.52,0.28,23.0,353.0,0.38,3.18,0.24,2.98
187,8.2,0.7,0.11,28.0,321.0,0.28,3.24,0.36,3.56
188,8.3,0.58,0.18,26.0,367.0,0.26,3.1,0.22,4.7
189,8.3,0.37,0.24,20.0,313.0,0.36,2.9,0.38,2.88
190,8.5,0.25,0.21,18.0,310.0,0.34,3.18,0.48,3.8
191,8.6,0.29,0.18,325.0,254.0,0.38,3.9,0.4,2.94
192,8.3,0.29,0.19,41.0,269.0,0.22,3.1,0.42,4.4
193,8.3,0.24,0.33,15.0,325.0,0.3,2.42,0.36,4.7
194,8.4,0.54,0.17,18.0,296.0,0.26,1.46,0.22,5.26
195,8.1,0.41,0.18,15.0,423.0,0.32,3.4,0.44,4.18
196,8.2,0.36,0.19,36.0,296.0,0.28,2.5,0.32,3.8
197,8.8,0.36,0.15,15.0,339.0,0.28,3.1,0.26,4.4
198,8.4,0.32,0.21,23.0,240.0,0.34,1.9,0.38,5.9
199,8.4,0.31,0.19,20.0,268.0,0.26,2.9,0.42,2.82
200,8.3,0.4,0.14,28.0,282.0,0.32,2.62,0.32,3.42
201,8.1,0.27,0.22,10.0,381.0,0.32,3.1,0.28,3.9
202,8.5,0.28,0.27,20.0,268.0,0.28,3.58,0.38,4.4
203,8.4,0.34,0.36,18.0,240.0,0.3,3.6,0.54,4.18
204,8.2,0.32,0.28,23.0,240.0,0.24,3.2,0.28,2.98
205,8.3,0.31,0.31,3.0,226.0,0.36,2.48,0.52,3.58
206,8.5,0.3,0.27,28.0,268.0,0.44,2.76,0.36,2.7
207,8.4,0.31,0.25,10.0,381.0,0.32,2.6,0.44,3.24
208,8.4,0.28,0.36,20.0,268.0,0.28,2.84,0.4,3.96
209,8.0,0.32,0.18,18.0,240.0,0.3,3.1,0.36,4.26
210,8.8,0.33,0.29,23.0,240.0,0.24,2.12,0.46,4.78
211,8.6,0.32,0.21,3.0,226.0,0.36,2.42,0.28,3.4
212,8.4,0.34,0.34,28.0,268.0,0.44,3.24,0.46,4.36
213,8.5,0.7,0.38,20.0,268.0,0.26,2.82,0.36,4.9
214,8.3,0.64,0.44,20.0,367.0,0.28,2.94,0.42,2.78
215,8.2,0.51,0.26,13.0,353.0,0.3,2.46,0.24,4.26
216,8.8,0.6,0.29,23.0,268.0,0.2,2.82,0.32,4.78
217,8.7,0.71,0.31,20.0,325.0,0.32,3.18,0.28,4.1
218,8.4,0.42,0.27,18.0,325.0,0.28,2.88,0.36,2.98
219,8.5,0.55,0.24,23.0,367.0,0.2,2.44,0.46,3.26
220,8.7,0.32,0.19,15.0,423.0,0.32,2.98,0.4,4.2
221,8.8,0.46,0.24,36.0,296.0,0.28,3.26,0.4,4.18
222,8.2,0.17,0.42,26.0,289.0,0.36,3.26,0.26,4.4
223,8.5,0.15,0.19,41.0,329.0,0.3,3.78,0.3,3.86
224,8.3,0.16,0.27,64.0,343.0,0.24,3.4,0.24,3.2
225,8.6,0.11,0.36,56.0,308.0,0.38,2.98,0.44,3.64
226,8.3,0.1,0.21,46.0,367.0,0.26,3.24,0.36,3.1
227,8.5,0.16,0.35,33.0,269.0,0.36,3.78,0.42,2.98
228,8.5,0.16,0.24,28.0,367.0,0.44,4.1,0.28,4.26
229,8.3,0.21,0.17,46.0,408.0,0.4,2.9,0.36,3.9
230,8.4,0.24,0.24,38.0,467.0,0.3,3.18,0.28,2.46
231,8.4,0.17,0.18,28.0,339.0,0.22,3.26,0.44,3.28
232,8.6,0.14,0.31,51.0,325.0,0.36,3.1,0.4,3.52
233,8.2,0.19,0.26,31.0,357.0,0.28,2.7,0.28,3.94
234,8.3,0.28,0.31,64.0,369.0,0.34,3.16,0.36,4.26
235,8.5,0.2,0.24,61.0,301.0,0.22,3.7,0.42,4.9
236,8.4,0.47,0.19,46.0,247.0,0.38,2.98,0.58,2.98
237,8.2,0.53,0.24,33.0,368.0,0.42,3.16,0.38,3.26
238,8.4,0.26,0.3,23.0,267.0,0.28,2.74,0.3,3.7
239,8.5,0.28,0.23,56.0,301.0,0.36,3.26,0.36,2.98
240,8.7,0.17,0.28,49.0,369.0,0.44,3.58,0.44,4.52
241,8.6,0.15,0.3,41.0,411.0,0.28,3.16,0.38,3.2
242,8.1,0.64,0.41,54.0,325.0,0.34,3.28,0.28,3.7
243,8.2,0.1,0.22,46.0,296.0,0.28,4.2,0.32,2.98
244,8.8,0.22,0.19,61.0,353.0,0.36,3.1,0.26,4.4
245,8.3,0.16,0.25,56.0,226.0,0.42,3.42,0.4,3.28
246,8.6,0.13,0.24,67.0,241.0,0.28,3.8,0.28,3.52
247,8.6,0.11,0.31,49.0,325.0,0.26,2.94,0.36,3.1
248,8.5,0.17,0.23,38.0,353.0,0.34,3.72,0.42,2.98
249,8.3,0.25,0.19,41.0,381.0,0.36,2.94,0.3,4.24
250,8.1,0.23,0.17,56.0,401.0,0.38,3.86,0.26,3.5
251,8.2,0.24,0.24,38.0,461.0,0.24,3.54,0.37,2.46
252,8.1,0.19,0.24,47.0,349.0,0.26,2.5,0.52,4.78
253,8.4,0.23,0.18,43.0,287.0,0.38,3.88,0.48,4.68
254,8.6,0.24,0.2,48.0,340.0,0.34,3.36,0.6,5.6
255,8.5,0.28,0.22,36.0,308.0,0.4,3.44,0.58,5.62
256,8.1,0.25,0.16,51.0,321.0,0.24,3.88,0.44,5.44
257,8.3,0.31,0.18,39.0,288.0,0.26,3.76,0.4,5.68
258,8.4,0.33,0.22,43.0,312.0,0.32,2.9,0.46,5.44
259,8.2,0.29,0.24,36.0,348.0,0.4,3.88,0.48,5.78
260,8.5,0.32,0.2,44.0,298.0,0.38,3.44,0.58,5.88
261,8.4,0.28,0.22,51.0,288.0,0.36,2.98,0.52,6.4
262,8.1,0.27,0.16,39.0,291.0,0.32,3.64,0.4,6.48
263,8.2,0.25,0.2,28.0,349.0,0.28,3.88,0.42,6.4
264,8.6,0.43,0.18,36.0,369.0,0.24,3.44,0.52,5.76
265,8.1,0.34,0.24,47.0,309.0,0.38,3.6,0.62,5.68
266,8.7,0.4,0.22,38.0,312.0,0.32,3.78,0.6,5.44
267,8.6,0.31,0.16,42.0,311.0,0.4,3.46,0.52,5.6
268,8.4,0.58,0.14,39.0,298.0,0.26,3.44,0.6,6.88
269,8.0,0.27,0.18,28.0,328.0,0.24,3.46,0.6,6.44
270,8.9,0.46,0.2,42.0,298.0,0.38,3.7,0.58,6.52
271,8.6,0.23,0.22,36.0,312.0,0.4,3.44,0.44,6.4
272,8.0,0.77,0.1634,34.0,287.0,0.24,2.6,0.42,4.52
273,8.3,0.58,0.2,28.0,291.0,0.28,2.88,0.38,4.76
274,8.4,0.54,0.18,31.0,343.0,0.38,2.4,0.52,4.68
275,8.5,0.36,0.14,38.0,361.0,0.36,2.78,0.54,4.98
276,8.3,0.28,0.24,58.0,304.0,0.4,2.64,0.56,5.1
277,8.4,0.33,0.26,44.0,369.0,0.32,2.88,0.6,5.12
278,8.3,0.25,0.18,41.0,392.0,0.3,2.4,0.62,4.98
279,8.5,0.19,0.14,37.0,281.0,0.34,3.38,0.38,4.68
280,8.7,0.18,0.22,28.0,287.0,0.38,3.2,0.44,5.98
281,8.5,0.18,0.16,21.0,343.0,0.3,3.12,0.4,5.68
282,8.4,0.18,0.2,49.0,324.0,0.38,3.64,0.6,5.44
283,8.6,0.21,0.18,44.0,311.0,0.32,3.52,0.62,5.68
284,8.2,0.11,0.24,34.0,2.84,0.34,3.64,0.58,5.44
285,8.7,0.77,0.2,28.0,309.0,0.4,3.88,0.52,4.46
286,9.0,0.61,0.14,31.0,281.0,0.32,3.7,0.54,4.44
287,8.9,0.32,0.16,49.0,287.0,0.28,2.58,0.42,4.98
288,8.8,0.29,0.14,44.0,328.0,0.26,2.68,0.48,4.68
289,8.8,0.26,0.2,31.0,369.0,0.32,2.44,0.46,4.44
290,8.7,0.21,0.18,38.0,318.0,0.38,4.0,0.52,4.38
291,8.7,0.24,0.14,28.0,311.0,0.34,4.6,0.5,4.68
292,8.2,0.21,0.2,39.0,287.0,0.38,3.94,0.48,5.52
293,8.3,0.17,0.22,44.0,348.0,0.4,3.64,0.46,5.68
294,8.9,0.2,0.24,49.0,361.0,0.26,3.88,0.44,5.9
295,8.4,0.15,0.22,28.0,311.0,0.28,3.5,0.48,4.98
296,8.2,0.24,0.24,31.0,287.0,0.38,3.68,0.6,4.64
297,8.5,0.18,0.18,49.0,369.0,0.36,3.98,0.62,4.88
298,8.4,0.26,0.2,38.0,287.0,0.4,3.64,0.38,5.28
299,8.3,0.27,0.16,31.0,326.0,0.38,3.48,0.48,5.68
300,8.3,0.25,0.14,39.0,327.0,0.34,2.98,0.66,5.44
301,8.4,0.26,0.18,28.0,324.0,0.36,2.96,0.58,5.88
302,8.4,0.28,0.16,49.0,311.0,0.32,2.94,0.38,5.64
303,8.6,0.28,0.24,28.0,284.0,0.38,3.88,0.64,5.38
304,8.8,0.44,0.22,32.0,291.0,0.34,3.64,0.6,5.78
305,8.7,0.58,0.2,31.0,281.0,0.4,3.44,0.62,5.68
306,8.9,0.63,0.24,28.0,311.0,0.42,3.22,0.4,5.44
307,8.4,0.76,0.2,28.0,287.0,0.28,2.78,0.48,4.98
308,8.5,0.67,0.24,31.0,326.0,0.26,2.98,0.42,4.68
309,8.4,0.77,0.16,43.0,284.0,0.38,2.44,0.46,5.52
310,8.6,0.53,0.14,36.0,281.0,0.4,2.68,0.44,5.1
311,8.6,0.55,0.18,39.0,311.0,38.0,2.48,0.48,5.12
312,8.2,0.92,0.14,28.0,287.0,0.26,3.98,0.52,5.64
313,8.5,0.49,0.18,41.0,369.0,0.28,3.68,0.58,4.98
314,8.3,0.99,0.26,39.0,326.0,0.32,3.48,0.54,4.68
315,8.0,,0.24,42.0,344.0,0.38,3.68,0.56,4.46
316,8.2,1.15,0.22,41.0,284.0,0.36,3.98,0.54,4.68
317,8.0,1.84,0.2,44.0,327.0,0.4,3.68,0.6,5.1
318,8.2,1.25,0.24,37.0,281.0,0.38,3.46,0.62,5.1
319,8.5,0.26,0.26,41.0,311.0,0.36,3.68,0.68,5.18
320,8.6,0.61,0.38,48.0,326.0,0.26,3.46,0.58,5.68
321,8.6,0.35,0.24,39.0,309.0,0.24,2.98,0.48,6.1
322,8.8,0.19,0.18,47.0,281.0,0.38,2.68,0.46,5.1
323,8.6,0.18,0.16,42.0,312.0,0.36,2.44,0.58,5.68
324,8.4,0.76,0.2,28.0,287.0,0.28,2.78,0.48,4.98
325,8.5,0.67,0.24,31.0,326.0,0.26,2.98,0.42,4.68
326,8.4,0.77,0.16,43.0,284.0,0.38,2.44,0.46,5.52
327,8.6,0.53,0.14,36.0,281.0,0.4,2.68,0.44,5.1
328,8.6,0.55,0.18,39.0,311.0,38.0,2.48,0.48,5.12
329,8.2,0.92,0.14,28.0,287.0,0.26,3.98,0.52,5.64
330,8.5,0.49,0.18,41.0,369.0,0.28,3.68,0.58,4.98
331,8.3,0.99,0.26,39.0,326.0,0.32,3.48,0.54,4.68
332,8.0,,0.24,42.0,344.0,0.38,3.68,0.56,4.46
333,8.2,1.15,0.22,41.0,284.0,0.36,3.98,0.54,4.68
334,8.0,1.84,0.2,44.0,327.0,0.4,3.68,0.6,5.1
335,8.2,1.25,0.24,37.0,281.0,0.38,3.46,0.62,5.1
336,8.5,0.26,0.26,41.0,311.0,0.36,3.68,0.68,5.18
337,8.6,0.61,0.38,48.0,326.0,0.26,3.46,0.58,5.68
338,8.6,0.35,0.24,39.0,309.0,0.24,2.98,0.48,6.1
339,8.8,0.19,0.18,47.0,281.0,0.38,2.68,0.46,5.1
340,8.6,0.18,0.16,42.0,312.0,0.36,2.44,0.58,5.68
341,7.9,0.18,0.22,41.0,327.0,0.26,2.5,0.4,3.98
342,8.1,0.19,0.24,39.0,349.0,0.28,2.98,0.48,3.94
343,8.1,0.19,0.3,42.0,319.0,0.34,2.68,0.58,4.6
344,8.2,0.17,0.18,39.0,0.38,2.46,2.46,0.56,4.86
345,8.1,0.25,0.14,42.0,327.0,0.28,3.34,0.54,4.44
346,8.0,0.16,0.16,37.0,289.0,0.26,3.36,0.52,4.62
347,8.1,0.2,0.18,48.0,327.0,0.3,3.98,0.48,4.46
348,8.2,0.18,0.14,38.0,369.0,0.32,3.68,0.4,4.52
349,8.1,0.19,0.22,47.0,309.0,0.28,3.64,0.6,4.44
350,8.2,0.19,0.24,44.0,342.0,0.26,3.94,0.48,4.14
351,8.1,0.19,0.3,28.0,312.0,0.24,3.88,0.42,4.5
352,8.2,0.24,0.28,43.0,318.0,0.34,3.22,0.38,4.68
353,8.0,0.25,0.24,39.0,319.0,0.38,3.44,0.32,4.62
354,7.7,0.26,0.22,37.0,384.0,0.36,3.68,0.34,4.72
355,7.9,0.18,0.18,41.0,327.0,0.38,3.28,0.36,4.64
356,7.8,0.23,0.16,36.0,312.0,0.28,3.4,0.4,4.82
357,8.0,0.18,0.14,38.0,311.0,0.32,3.28,0.48,4.64
358,8.1,0.16,0.18,42.0,301.0,0.34,3.26,0.46,4.52
359,8.1,0.14,0.22,49.0,289.0,0.34,3.22,0.48,4.68
360,7.9,0.2,0.26,36.0,369.0,0.36,63.46,0.44,4.62
361,7.9,0.32,0.3,39.0,311.0,0.38,3.48,0.42,4.76
362,8.1,0.25,0.18,29.0,287.0,0.29,3.4,0.52,4.68
